year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2015,1,Donetsk oblast,2,48.075,37.725556,16/01/2015,17/01/2015,1
2015,1,Donetsk oblast,2,48,37.805278,16/01/2015,17/01/2015,1
2015,1,Luhansk oblast,1,48.633333,38.38,17/01/2015,17/01/2015,1
2015,1,Donetsk oblast,2,48.075,37.725556,15/01/2015,17/01/2015,1
2015,1,Donetsk oblast,2,48.313148,38.277561,18/01/2015,18/01/2015,1
2015,1,Donetsk oblast,5,48,37.805278,18/01/2015,18/01/2015,1
2015,1,Donetsk oblast,2,48.075,37.725556,18/01/2015,18/01/2015,1
2015,1,Donetsk oblast,2,48,37.805278,20/01/2015,20/01/2015,1
2015,1,Donetsk oblast,5,48,37.805278,20/01/2015,21/01/2015,1
2015,1,Donetsk oblast,13,48,37.805278,22/01/2015,22/01/2015,1
2015,1,Donetsk oblast,10,48.3,38.05,21/01/2015,22/01/2015,1
2015,1,Luhansk oblast,8,48.92,39.02,21/01/2015,22/01/2015,1
2015,1,,171,48.15,38.65,13/01/2015,21/01/2015,2
2015,1,Luhansk oblast,0,48.6333,38.5167,23/01/2015,23/01/2015,1
2015,1,Donetsk oblast,30,47.095833,37.549444,24/01/2015,24/01/2015,1
2015,1,Luhansk oblast,2,48.92,39.02,25/01/2015,26/01/2015,1
2015,1,Donetsk oblast,1,48.333333,38.4,25/01/2015,26/01/2015,1
2015,1,Donetsk oblast,1,48,37.805278,27/01/2015,27/01/2015,1
2015,1,,3,48.15,38.65,27/01/2015,28/01/2015,1
2015,1,Luhansk oblast,0,48.564161,38.644237,27/01/2015,28/01/2015,1
2015,1,Luhansk oblast,0,48.133333,38.933333,27/01/2015,28/01/2015,1
2015,1,Luhansk oblast,0,48.566667,39.3,27/01/2015,28/01/2015,1
2015,1,Donetsk oblast,3,48.333333,38.4,29/01/2015,29/01/2015,1
2015,1,,7,48.15,38.65,29/01/2015,30/01/2015,1
2015,1,Donetsk oblast,12,48,37.805278,29/01/2015,30/01/2015,1
2015,1,Donetsk oblast,6,48,37.805278,30/01/2015,30/01/2015,1
2015,1,,4,48.15,38.65,01/02/2015,01/02/2015,1
2015,1,Donetsk oblast,7,48.333333,38.4,01/02/2015,01/02/2015,1
2015,1,Donetsk oblast,1,48,37.805278,01/02/2015,01/02/2015,1
2015,1,Luhansk oblast,3,48.92,39.02,01/02/2015,01/02/2015,1
2015,1,Luhansk oblast,2,48.721895,39.25145,01/02/2015,01/02/2015,1
2015,1,Donetsk oblast,4,48,37.805278,04/02/2015,04/02/2015,1
2015,1,,8,48.15,38.65,03/02/2015,04/02/2015,1
2015,1,Donetsk oblast,8,48,37.805278,04/02/2015,05/02/2015,1
2015,1,Donetsk oblast,1,48,37.805278,06/02/2015,07/02/2015,1
2015,1,Donetsk oblast,2,48.145278,37.745,06/02/2015,07/02/2015,1
2015,1,Donetsk oblast,4,48.333333,38.4,08/02/2015,09/02/2015,1
2015,1,Donetsk oblast,3,48.145278,37.745,08/02/2015,09/02/2015,1
2015,1,Donetsk oblast,16,48.716667,37.533333,10/02/2015,10/02/2015,1
2015,1,Donetsk oblast,11,48,37.805278,11/02/2015,11/02/2015,1
2015,1,Donetsk oblast,5,48.333333,38.4,11/02/2015,11/02/2015,1
2015,1,,7,48.15,38.65,10/02/2015,11/02/2015,1
2015,1,Luhansk oblast,2,48.721895,39.25145,12/02/2015,13/02/2015,1
