Year,Region,Exports (USD),Exports % to Prev Year,Exports % of total,Imports (USD),Imports % to Prev Year,Imports % of total,Balance
2021,Chernivtsi,207308.84,123.08,0.30,194529.28,113.83,0.27,12779.50
2021,Chernihiv,1189687.61,133.55,1.75,483515.11,141.36,0.66,706172.50
2021,Kyiv city,15331047.61,123.36,22.52,31038987.88,129.71,42.61,-15707940.26
2021,Ukraine,44135592.46,64.84,100.00,55295748.42,75.91,100.00,-11160155.94
2022,Vinnits'ka ,1600458.07,122.24,3.63,622797.40,89.09,1.13,977660.70
2022,Volins'ka ,1065676.76,128.00,2.41,2034204.50,112.12,3.68,-968527.70
2022,Dnipropetrovs'ka ,6250833.10,51.39,14.16,3951611.10,67.29,7.15,2299222.00
2022,Donets'ka ,284183.40,4.04,0.64,139074.47,7.35,0.25,145108.94
2022,Zhitomirs'ka ,718098.36,93.08,1.63,1206028.91,175.01,2.18,-487930.55
2022,Zakarpats'ka ,1970395.61,116.95,4.46,1645411.78,96.97,2.98,324983.83
2022,Zaporiz'ka ,2808658.96,59.24,6.36,1195427.40,58.41,2.16,1613231.60
2022,Ivano-Frankivs'ka ,684521.40,58.74,1.55,597967.80,60.05,1.08,86553.60
2022,Kiyivs'ka ,2095732.25,82.17,4.75,3621107.60,64.74,6.55,-1525375.40
2022,Kirovograds'ka ,873195.70,85.48,1.98,249495.90,85.35,0.45,623699.80
2022,Lugans'ka ,8704.38,5.18,0.02,12309.61,4.66,0.02,-3605.23
2022,L'vivs'ka ,3024849.50,103.15,6.85,5387542.90,113.29,9.74,-2362693.40
2022,Mikolayivs'ka ,1642889.11,47.52,3.72,733533.10,61.43,1.33,909356.00
2022,Odes'ka ,2400107.19,141.37,5.44,2132470.50,92.27,3.86,267636.70
2022,Poltavs'ka ,1867032.31,58.54,4.23,1201463.60,63.91,2.17,665568.70
2022,Rivnens'ka ,744171.68,105.71,1.69,550888.40,95.48,1.00,193283.30
2022,Sums'ka ,723665.78,68.22,1.64,582527.60,67.94,1.05,141138.20
2022,Ternopil's'ka ,780415.82,114.96,1.77,518880.40,97.84,0.94,261535.40
2022,Kharkivs'ka ,879682.98,48.84,1.99,1252880.87,52.18,2.27,-373197.89
2022,Khersons'ka ,56990.51,13.81,0.13,36828.30,13.79,0.07,20162.20
2022,Khmel'nits'ka ,780197.07,84.98,1.77,707518.60,112.55,1.28,72678.50
2022,Cherkas'ka ,1293904.68,146.36,2.93,606978.60,57.60,1.10,686926.00
2022,Chernivets'ka ,286552.59,138.22,0.65,486284.20,249.98,0.88,-199731.60
2022,Chernigivs'ka ,717457.01,60.31,1.63,300404.20,62.13,0.54,417052.80
2022,m.Kiyiv,10463689.07,68.25,23.71,22003545.53,70.89,39.79,-11539856.40
